,POSTCODE,TOTAL_FLOOR_AREA,LONG,LAT,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,PROPERTY_TYPE,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,PRICE
61,EC2M 4TP,252.49,-0.079398,51.517257,NO DATA!,,,House,7.0,7.0,169328
62,EC3R 8EE,40.0,-0.08371,51.509924,Ground,N,,Flat,2.0,2.0,4050000
63,EC1A 7BF,83.0,-0.098636,51.518407,mid floor,,,Flat,,,1375000
64,EC1A 7BB,51.0,-0.098603,51.518153999999996,mid floor,,,Flat,,,870000
65,EC1M 6EB,98.11,-0.098163,51.520699,4th,N,,Flat,2.0,2.0,660000
66,EC1Y 0RL,46.16,-0.095019,51.522455,3rd,Y,,Flat,2.0,2.0,507500
67,E1 7EF,61.08,-0.07710800000000001,51.515796,20th,N,,Flat,3.0,3.0,321500
68,EC4A 1BX,31.4,-0.109901,51.514666,4th,N,6.0,House,2.0,2.0,415000
69,EC2Y 8BY,154.5,-0.09677000000000001,51.519884999999995,6th,N,41.0,Flat,5.0,5.0,1635000
70,EC2Y 8NH,36.39,-0.09407599999999999,51.520884,5th,N,7.0,Flat,2.0,2.0,1110000
71,EC2Y 8DN,77.26,-0.09529800000000001,51.519915000000005,6th,N,8.0,Flat,3.0,3.0,875000
72,EC2Y 8PQ,40.77,-0.09376699999999999,51.521374,2nd,N,7.0,Flat,1.0,1.0,450000
73,EC2Y 9AP,37.0,-0.090181,51.519913,9th,N,,Flat,1.0,1.0,540000
74,EC2Y 8BL,67.29,-0.09113500000000001,51.518822,3rd,N,7.0,Flat,2.0,2.0,675000
75,EC2Y 8DL,90.54,-0.09407599999999999,51.520884,Ground,Y,,Flat,4.0,4.0,745000
76,EC2Y 8BA,55.8,-0.09200900000000001,51.518603000000006,1st,N,10.0,Flat,2.0,2.0,772000
77,EC2Y 8NA,101.0,-0.09677000000000001,51.519884999999995,21st or above,N,,Flat,4.0,4.0,1745000
78,E1 7HY,35.11,-0.078795,51.518162,1st,N,,Flat,2.0,2.0,194565
79,EC4A 1EQ,120.0,-0.10928800000000001,51.517291,4th,Y,,Maisonette,3.0,3.0,552000
80,EC3N 2AE,108.0,-0.07878099999999999,51.511309999999995,Ground,Y,,Flat,3.0,3.0,840000
81,EC3N 1BD,72.15,-0.075417,51.513844,3rd,Y,4.0,Flat,3.0,3.0,995835
